ID;NAME;Kartenart;Quellkonto KontoID;Quellkonto;Quellkonto Beschreibung;Quellkonto BUB;Quellkonto LIB;Zielkonto KontoID;Zielkonto;Zielkonto Beschreibung;Zielkonto BUB;Zielkonto LIB;Verschiedene Lager;handler
14;Storno Rueckgabe;;7;Rueckgabe Lieferant;Umsatz Rueckgabe von Ware an Lieferant;N;N;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;N;
15;Storno Rueckgabe;;23;Rueckgabe Mandant;"Umsatz Rueckgabe von Ware an den
Mandanten";N;N;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;N;
16;Storno Totalschaden;;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;N;
17;Totalschaden;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;;
18;neg. Bestandsdiff. Fakturierb. Bestand;340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
19;pos. Bestandsdiff. Fakturierb. Bestand;330;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
20;Warenrücksendung Retouren (WRR) - Teil 1;-1;95;Bestand RS nicht-bub;nicht bub-relevanter Bestand der Rücksendestelle für den Konzern;N;N;94;Transp. gesp. n-bub;Gesperrter nicht bub-relevanter Transportbestand (der Rücksendestelle) für den Konzern;N;N;N;
21;Kanalumbuchung aus Kanal Lieferant T.1;305;95;Bestand RS nicht-bub;nicht bub-relevanter Bestand der Rücksendestelle für den Konzern;N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
22;Kanalumbuchg. Lieferant - neuer Kanal T2;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
23;Manuelle Warenrücksendung Retouren;-1;95;Bestand RS nicht-bub;nicht bub-relevanter Bestand der Rücksendestelle für den Konzern;N;N;7;Rueckgabe Lieferant;Umsatz Rueckgabe von Ware an Lieferant;N;N;N;
24;Auslagerung Rücksendestelle: Umfuhr;-1;95;Bestand RS nicht-bub;nicht bub-relevanter Bestand der Rücksendestelle für den Konzern;N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
25;Auslagerg. RSS: Verdichtg.Fachbodenlager;-1;95;Bestand RS nicht-bub;nicht bub-relevanter Bestand der Rücksendestelle für den Konzern;N;N;94;Transp. gesp. n-bub;Gesperrter nicht bub-relevanter Transportbestand (der Rücksendestelle) für den Konzern;N;N;N;
26;Warenrücksendung (WRS) Lieferant;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;7;Rueckgabe Lieferant;Umsatz Rueckgabe von Ware an Lieferant;N;N;N;46
27;Manuelle Warenrücksendung WE/Überhang;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;7;Rueckgabe Lieferant;Umsatz Rueckgabe von Ware an Lieferant;N;N;N;
28;Einlagerung Retoure über Rücksendestelle;-1;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;94;Transp. gesp. n-bub;Gesperrter nicht bub-relevanter Transportbestand (der Rücksendestelle) für den Konzern;N;N;N;
29;Warenrücksendung Retouren (WRR) - Teil 2;-1;94;Transp. gesp. n-bub;Gesperrter nicht bub-relevanter Transportbestand (der Rücksendestelle) für den Konzern;N;N;7;Rueckgabe Lieferant;Umsatz Rueckgabe von Ware an Lieferant;N;N;N;
30;WE2 f. Ruecksendung melden;;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
31;15 auf 4;-1;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
32;3 auf 4;340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
33;2 auf 4;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
34;25 auf 6;-1;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;N;
35;38 auf 8;-1;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
36;1 auf 93;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
37;2 auf 93;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
37;2 auf 93;315;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
38;3 auf 93;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
39;4 auf 93;315;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
40;6 auf 93;-1;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
41;8 auf 93;;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
42;9 auf 93;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
43;10 auf 93;;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
44;14 auf 93;;14;Transportbestand abg;abgehender Transportbestand fuer Stationaergeschaeft;Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
45;20 auf 93;;20;ALT: ALT: Angleichun;"Angleichung BUB an ASTA08 (Master). enthaelt Retoureneingaenge; Inventur  und sonstige Bewegungen ausser WE und Verkauf";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
46;22 auf 93;;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
47;25 auf 93;;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
48;26 auf 93;;26;Abgabe Rep.an Lief.;"Warenausgang zu reparierender Artikel an den Lieferanten;
dabei Ausbuchung aus BUB;
Keine Verbuchung bzgl. REKO
Verwendet u.a. für Filialabgaben an Lieferant zur Reparatur";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
49;29 auf 93;;29;Sonstige Auslagerung;Sonstige Auslagerungen;N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
50;32 auf 93;;32;Rückl. Rep.von Lief.;"Wareneingang zu reparierender Artikel vom Lieferanten;
dabei Einbuchung in BUB;
Keine Verbuchung bzgl. REKO
Verwendet u.a. für Filial-WE reparierter Artikel vom Lieferant";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
51;33 auf 93;;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
52;34 auf 93;;34;Beauftragter Best.;Zur Auslagerung beauftragter Bestand im Zentrallager Stationär/Filiale SAS/Caruso;Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
53;35 auf 93;;35;Eigenentn./Geschenk;"Eigenentnahme / Geschenk (z.B. Klopapier) direkt aus dem Lager bzw. Fililale; Abgang aus BUB";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
54;36 auf 93;;36;Dekoration Filiale;"Entnahme zur Dekoration der Filiale direkt aus dem Fililalbestand; Abgang aus BUB";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
55;37 auf 93;;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
56;38 auf 93;-1;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
57;42 auf 93;;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
58;90 auf 1;305;90;Initialzugang; Initialzugang Umsatz;N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
59;90 auf 2;;90;Initialzugang; Initialzugang Umsatz;N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
60;90 auf 3;300;90;Initialzugang; Initialzugang Umsatz;N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
61;90 auf 4;305;90;Initialzugang; Initialzugang Umsatz;N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
62;90 auf 6;;90;Initialzugang; Initialzugang Umsatz;N;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
63;90 auf 8;;90;Initialzugang; Initialzugang Umsatz;N;N;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;N;
64;90 auf 9;;90;Initialzugang; Initialzugang Umsatz;N;N;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;N;
65;90 auf 10;-1;90;Initialzugang; Initialzugang Umsatz;N;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
66;90 auf 14;;90;Initialzugang; Initialzugang Umsatz;N;N;14;Transportbestand abg;abgehender Transportbestand fuer Stationaergeschaeft;Y;N;N;
67;90 auf 20;-1;90;Initialzugang; Initialzugang Umsatz;N;N;20;ALT: ALT: Angleichun;"Angleichung BUB an ASTA08 (Master). enthaelt Retoureneingaenge; Inventur  und sonstige Bewegungen ausser WE und Verkauf";N;N;N;
68;90 auf 22;;90;Initialzugang; Initialzugang Umsatz;N;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
69;90 auf 25;;90;Initialzugang; Initialzugang Umsatz;N;N;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;N;
70;90 auf 26;;90;Initialzugang; Initialzugang Umsatz;N;N;26;Abgabe Rep.an Lief.;"Warenausgang zu reparierender Artikel an den Lieferanten;
dabei Ausbuchung aus BUB;
Keine Verbuchung bzgl. REKO
Verwendet u.a. für Filialabgaben an Lieferant zur Reparatur";N;N;N;
71;90 auf 29;;90;Initialzugang; Initialzugang Umsatz;N;N;29;Sonstige Auslagerung;Sonstige Auslagerungen;N;N;N;
72;90 auf 32;;90;Initialzugang; Initialzugang Umsatz;N;N;32;Rückl. Rep.von Lief.;"Wareneingang zu reparierender Artikel vom Lieferanten;
dabei Einbuchung in BUB;
Keine Verbuchung bzgl. REKO
Verwendet u.a. für Filial-WE reparierter Artikel vom Lieferant";N;N;N;
73;90 auf 33;;90;Initialzugang; Initialzugang Umsatz;N;N;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;N;
74;90 auf 34;;90;Initialzugang; Initialzugang Umsatz;N;N;34;Beauftragter Best.;Zur Auslagerung beauftragter Bestand im Zentrallager Stationär/Filiale SAS/Caruso;Y;N;N;
75;90 auf 35;;90;Initialzugang; Initialzugang Umsatz;N;N;35;Eigenentn./Geschenk;"Eigenentnahme / Geschenk (z.B. Klopapier) direkt aus dem Lager bzw. Fililale; Abgang aus BUB";N;N;N;
76;90 auf 36;;90;Initialzugang; Initialzugang Umsatz;N;N;36;Dekoration Filiale;"Entnahme zur Dekoration der Filiale direkt aus dem Fililalbestand; Abgang aus BUB";N;N;N;
77;90 auf 37;;90;Initialzugang; Initialzugang Umsatz;N;N;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;N;
78;90 auf 38;-1;90;Initialzugang; Initialzugang Umsatz;N;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
79;90 auf 42;;90;Initialzugang; Initialzugang Umsatz;N;N;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;N;
80;alt: Filialruecksend.Lascana in Bramfeld;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;12;WE Retoure;Wareneingang (WE) Retoure;N;N;N;
81;Kanalb in Retourenst.-Lager0;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;N;
82;"Storno KABA; Verfuegbar - Transport";346;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
83;Storno Schwund Auslagerung Stationaer;-1;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
84;WE für Hilfskonto 17;305;16;WE zu Hilfskonto 17;"Auf dem Konto 38 werden Bestände gehalten; die teilweise BUB-relevant sind und teilweise nicht. Um für dieses Konto den BUB korrekt zu ermitteln; ist die Einführung eines technischen Hilfskontos (17) notwendig. Das Konto 16 dient als technisches WE-Konto für dieses Hilfskonto.";N;N;17;Reserviert Stationär;"Reserviert fuer Entnahme im Kommissionierlager (Stationaer); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";Y;N;Y;
85;WA für Hilfskonto 17;315;17;Reserviert Stationär;"Reserviert fuer Entnahme im Kommissionierlager (Stationaer); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";Y;N;18;WA zu Hilfskonto 17;"Auf dem Konto 38 werden Bestände gehalten; die teilweise BUB-relevant sind und teilweise nicht. Um für dieses Konto den BUB korrekt zu ermitteln; ist die Einführung eines technischen Hilfskontos (17) notwendig. Das Konto 18 dient als technisches WA-Konto für dieses Hilfskonto.";N;N;Y;
86;QS-Sperrung;340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;N;
87;QS-Entsperrung;330;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
88;man. Bestandsberichtigung negativ;315;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
89;man. Bestandsberichtigung positiv;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;N;
90;Rueckgabe Lieferant aus QS-Sperre;315;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
91;Auslagerung Muster aus QS-Sperre;315;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;N;
92;Umlagerung QS-gesperrter Best.;;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;Y;
93;Rueckgabe an Lieferant aus Überhang;315;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
94;Ausbuchung wegen Umzeichnung;315;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
95;Kanalbuchung (Verschrottung etc.;315;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
96;QS-Warenzugang aus Transportbest.zug.;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;N;
97;Sonst. Warenvereinnahmung untypisiert;-1;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;N;
98;Storno sonst.Warenvereinn. untypisiert;-1;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
99;QS-Korrektur NBV(+);-1;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;N;
